Symbol,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,ATR,BB_Middle,BB_Upper,BB_Lower,BB_Width
MMM,2025-04-10,133.2936,133.3329,126.3516,130.5639,4757100,,,,,,,,,
MMM,2025-04-11,130.7211,134.0203,129.2777,133.49,3337600,,,,,,,,,
MMM,2025-04-14,135.6109,135.7877,131.9975,133.5489,3815800,,,,,,,,,
MMM,2025-04-15,133.5489,134.9825,132.6947,132.8125,2541700,,,,,,,,,
MMM,2025-04-16,131.0942,132.0466,127.52,128.0994,5635500,,,,,,,,,
MMM,2025-04-17,127.9815,130.5443,127.7262,127.8539,4952000,,,,,,,,,
MMM,2025-04-21,126.6658,127.4906,122.3945,123.8084,5971800,,,,,,,,,
MMM,2025-04-22,130.8781,134.7861,128.0012,133.8631,7943800,,,,,,,,,
MMM,2025-04-23,136.858,139.5778,132.7536,133.598,4655800,,,,,,,,,
MMM,2025-04-24,133.1856,137.2311,132.675,136.367,2921100,,,,,,,,,
MMM,2025-04-25,136.4848,136.4848,134.6192,134.8352,2141300,,,,,,,,,
MMM,2025-04-28,134.8352,135.9055,133.5784,135.4342,2499900,,,,,,,,,
MMM,2025-04-29,135.012,136.7009,134.3639,135.8761,1917200,,,,,,,,,
MMM,2025-04-30,135.1396,136.7892,132.4099,136.3965,3062800,,,,,5.3373,,,,
MMM,2025-05-01,135.7779,137.7122,135.1789,135.4047,2236300,,,,77.4838,5.137,,,,
MMM,2025-05-02,137.4667,140.4517,136.7696,139.5091,2734200,,,,80.2066,5.1306,,,,
MMM,2025-05-05,138.0755,139.3029,137.3391,138.2523,2623500,,,,77.1308,4.9191,,,,
MMM,2025-05-06,136.6125,137.182,135.1396,135.5226,2850000,,,,70.7818,4.7901,,,,
MMM,2025-05-07,135.768,137.2605,135.2084,136.1313,2555400,,,,71.3482,4.5945,,,,
MMM,2025-05-08,137.4668,139.7841,136.6911,138.5665,2899500,133.9967,,,73.5566,4.5272,133.9967,141.757,126.2363,0.1158
MMM,2025-05-09,138.7039,140.0393,138.4094,140.0197,2634100,134.4695,,,74.8046,4.3203,134.4695,142.4968,126.4421,0.1194
MMM,2025-05-12,143.4465,148.091,142.6414,147.6098,4974800,135.1755,,,80.0901,4.5882,135.1755,145.0996,125.2513,0.1468
MMM,2025-05-13,148.0811,149.0041,147.4527,148.0124,3455700,135.8986,,,80.3259,4.3713,135.8986,147.3189,124.4784,0.1681
MMM,2025-05-14,148.0222,148.0419,144.3008,145.2042,3778700,136.5182,,,73.7645,4.3263,136.5182,148.5611,124.4754,0.1764
MMM,2025-05-15,143.6822,146.4806,142.7298,146.0486,4472100,137.4157,,,74.4406,4.2852,137.4157,149.4921,125.3393,0.1758
